[2025-07-06 23:52:23] [13.895910263061523, 10.466793060302734]
[2025-07-06 23:52:23] [11.906536102294922, 10.966283798217773]
[2025-07-06 23:52:23] [15.9859037399292, 13.988607406616211]
[2025-07-06 23:52:23] [22.20822525024414, 12.696389198303223]
[2025-07-06 23:52:23] [15.768316268920898, 10.745963096618652]
[2025-07-06 23:52:23] [24.4202823638916, 14.355884552001953]
[2025-07-06 23:52:23] [18.050186157226562, 10.77404499053955]
[2025-07-06 23:52:23] [20.902793884277344, 11.01876449584961]
[2025-07-06 23:52:23] [11.759671211242676, 12.59261703491211]
[2025-07-06 23:52:23] [22.08100700378418, 11.83117961883545]
[2025-07-06 23:52:23] [25.221660614013672, 10.883237838745117]
[2025-07-06 23:52:23] [15.210262298583984, 10.284381866455078]
[2025-07-06 23:52:23] [20.23007583618164, 10.83990478515625]
[2025-07-06 23:52:23] [10.196521759033203, 11.13113021850586]
[2025-07-06 23:52:23] [15.861534118652344, 10.269454956054688]
[2025-07-06 23:52:23] [28.059322357177734, 10.45409870147705]
[2025-07-06 23:52:23] [19.411449432373047, 12.127920150756836]
[2025-07-06 23:52:23] [11.28691291809082, 15.29053020477295]
[2025-07-06 23:52:23] [12.300496101379395, 12.401273727416992]
[2025-07-06 23:52:23] [19.3729190826416, 10.492961883544922]
[2025-07-06 23:52:23] [12.12756633758545, 14.17127513885498]
[2025-07-06 23:52:23] [13.080045700073242, 12.57101058959961]
[2025-07-06 23:52:23] [22.49860382080078, 12.5248441696167]
[2025-07-06 23:52:23] [10.801331520080566, 11.60521411895752]
[2025-07-06 23:52:23] [15.533917427062988, 12.683843612670898]
[2025-07-06 23:52:23] [17.11093521118164, 10.790457725524902]
[2025-07-06 23:52:23] [18.093427658081055, 14.478424072265625]
[2025-07-06 23:52:23] [16.129638671875, 11.872926712036133]
[2025-07-06 23:52:23] [21.80472183227539, 15.59640884399414]
[2025-07-06 23:52:23] [15.871599197387695, 10.18336296081543]
